id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_CSF00936,BKK:BKK_CSF00936,47.510442,19.056726,Nyugati pályaudvar,1062,CSF00936,,kc~`HsmisBNCNFJLHRBTAX}CrUGTKNOFOAMGyDwD??qDwDMSEY@]FWNOfNyIFC\K,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '005CA5', '00AFF0', '2E5EA8', 'AACD46', 'FFCD28', '000000', '009EE3', 'E41F18'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF00940,BKK:BKK_CSF00940,47.506715,19.055143,Báthory utca / Bajcsy-Zsilinszky út,1065,CSF00940,,}n}`H_uhsBDT@VETGRMJ_EtBOBOCMKKSCUYcH@[HYNOPEfC@RFNRpAlD,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF00945,BKK:BKK_CSF00945,47.500009,19.055603,Bajcsy-Zsilinszky út,1061,CSF00945,,sg|`HyvhsB@ZGXMPOHSAOKgBaCKSCY@YFWNONEPBtAn@LLFJL`@HbA,1,stop-area,False,[],OTHER,"{'colors': ['FFD800', '000000', '009EE3', 'EE7203'], 'type': 'PRIORITY', 'image': 'stop-icon-M1'}",,
BKK_CS072858,BKK:BKK_CS072858,47.505896,19.047993,Kossuth Lajos tér,1055,CS072858,,od}`HywfsBBXCXGRONmGnDQDQEOMGWyIyi@AYBYHUNMPCdFP@@rANLDLLFTlHdc@,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', 'E41F18', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M2'}",,
BKK_CSF00990,BKK:BKK_CSF00990,47.50897,19.050341,Markó utca,1055,CSF00990,,id~`He|gsBAYDWHSNKPANFLNFVz@hI@XEVIROJQ@OGMOGW{@iI,1,stop-area,False,[],OTHER,{'colors': ['009EE3']},,
BKK_CSF00956,BKK:BKK_CSF00956,47.503647,19.054758,Arany János utca,1054,CSF00956,,g{|`H{thsBJPFV@ZGXKPOH}Cj@M@sEa@QGMQGW?[DWJSPK|GsAN?LFtAhA,1,stop-area,False,[],OTHER,"{'colors': ['005CA5', '000000', '009EE3', 'FF9900', 'E41F18'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF00968,BKK:BKK_CSF00968,47.509001,19.046677,"Országház, látogatóközpont",1055,CSF00968,,uc~`Hi_gsBMOIUCYBYHSLOPCNBz@d@LLHTBXCXITMLQDOE{@c@,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800']}",,
BKK_CSF00974,BKK:BKK_CSF00974,47.500208,19.046501,Széchenyi István tér,1051,CSF00974,,kc|`HeegsBP@NJJTBZAZITON}IbEQBOEMOKSGUAYBY`@gBLWRKdIiA,1,stop-area,False,[],OTHER,"{'colors': ['FF9900', 'FFD800', '000000', '009EE3']}",,
BKK_CS048505,BKK:BKK_CS048505,47.50048,19.054859,Szent István Bazilika,1051,CS048505,,il|`HwvhsBNGPBLJJRDXAXGTMPsA`AOFQCMKKSEY@YFULQrAaA,1,stop-area,False,[],OTHER,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CS062942,BKK:BKK_CS062942,47.501636,19.077828,Péterfy Sándor utca,1077,CS062942,,et|`HoemsBPDLLHT@XAXITMLQBQCMMIUCYBYHULMPE,1,stop-area,False,[],OTHER,"{'colors': ['E41F18', 'FF9900']}",,
